legacy_model_name,legacy_category,current_model_id,current_model_name,current_category,crosswalk_status,relationship,auto_merge_allowed,notes
نموذج تحديد الاحتياج التطوعي,نماذج المنظمة,MODEL-023,نموذج تحديد الاحتياج وتصميم الفرص,نماذج المنظمة,CANDIDATE_EVOLVED_SCHEMA,2_TO_1_CANDIDATE,False,النموذج الحالي يبدو تجميعًا لنموذجين تاريخيين؛ يمنع الدمج الآلي.
نموذج تصميم الفرصة التطوعية,نماذج المنظمة,MODEL-023,نموذج تحديد الاحتياج وتصميم الفرص,نماذج المنظمة,CANDIDATE_EVOLVED_SCHEMA,2_TO_1_CANDIDATE,False,النموذج الحالي يبدو تجميعًا لنموذجين تاريخيين؛ يمنع الدمج الآلي.
نموذج المقابلة الشخصية,نماذج المنظمة,MODEL-021,نموذج المقابلة الشخصية,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج اتفاقية تطوع,نماذج المنظمة,MODEL-017,نموذج اتفاقية تطوع,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
الميثاق الأخلاقي للمتطوع,نماذج المنظمة,MODEL-012,الميثاق الأخلاقي للمتطوع,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
دليل المتطوع,نماذج المنظمة,MODEL-016,دليل المتطوع,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تحديد الاحتياج التدريبي للمتطوعين,نماذج المنظمة,MODEL-022,نموذج تحديد الاحتياج التدريبي للمتطوعين,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج طلب تعويض عن مصروفات,نماذج المنظمة,MODEL-028,نموذج طلب تعويض عن مصروفات,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج الشكوى والتظلم,نماذج المنظمة,MODEL-020,نموذج الشكوى والتظلم,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تقييم أداء المتطوع,نماذج المنظمة,MODEL-025,نموذج تقييم أداء المتطوع,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج شهادة تطوع,نماذج المنظمة,MODEL-027,نموذج شهادة تطوع,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تخطيط اللقاء التعريفي بالمتطوعين الجدد,نماذج المنظمة,MODEL-024,نموذج تخطيط اللقاء التعريفي بالمتطوعين الجدد,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
الملف التعريفي,نماذج المنظمة,MODEL-011,الملف التعريفي,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
الميثاق الأخلاقي للمنظمة ولمدير التطوع,نماذج المنظمة,MODEL-013,الميثاق الأخلاقي للمنظمة ولمدير التطوع,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
أداة إدارة الفرص التطوعية,نماذج المنظمة,MODEL-008,أداة إدارة الفرص التطوعية,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
أداة قياس العائد الاقتصادي,نماذج المنظمة,MODEL-009,أداة قياس العائد الاقتصادي,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج الخطة التشغيلية,نماذج المنظمة,MODEL-019,نموذج الخطة التشغيلية,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج صياغة السياسة العامة للتطوع في الجهة,نماذج المنظمة,,,,LEGACY_ONLY,,False,
نموذج تقييم المتطوع لتجربته التطوعية,نماذج المنظمة,MODEL-026,نموذج تقييم المتطوع لتجربته التطوعية,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تصنيف أصحاب المصلحة,نماذج المسرعة,MODEL-041,نموذج تصنيف أصحاب المصلحة,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج توقعات أصحاب المصلحة,نماذج المسرعة,MODEL-043,نموذج توقعات أصحاب المصلحة,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج مصفوفة أصحاب المصلحة,نماذج المسرعة,MODEL-045,نموذج مصفوفة أصحاب المصلحة,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تلبية توقعات أصحاب المصلحة,نماذج المسرعة,MODEL-042,نموذج تلبية توقعات أصحاب المصلحة,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تحديد التوجه,نماذج المسرعة,MODEL-036,نموذج تحديد التوجه,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تحليل الجمهور المستهدف,نماذج المسرعة,MODEL-040,نموذج تحليل الجمهور المستهدف,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تحديد القضايا والتحديات,نماذج المسرعة,MODEL-037,نموذج تحديد القضايا والتحديات,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تحديد الأولويات,نماذج المسرعة,MODEL-035,نموذج تحديد الأولويات,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج صياغة التحدي,نماذج المسرعة,MODEL-044,نموذج صياغة التحدي,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج التحليل الشجري,نماذج المسرعة,MODEL-033,نموذج التحليل الشجري,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
صياغة سؤال التحدي,نماذج المسرعة,MODEL-032,صياغة سؤال التحدي,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
خريطة التعاطف,نماذج المسرعة,MODEL-031,خريطة التعاطف,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج العصف الذهني Brainstorming.,نماذج المسرعة,MODEL-034,نموذج العصف الذهني Brainstorming.,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
TOWS Matrix نموذج (الاستدامة),نماذج المسرعة,MODEL-029,TOWS Matrix نموذج (الاستدامة),نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
خارطة الاستراتيجيات,نماذج المسرعة,MODEL-030,خارطة الاستراتيجيات,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تحديد مهام ومؤشرات الخطة,نماذج المسرعة,MODEL-039,نموذج تحديد مهام ومؤشرات الخطة,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تحديد المخاطر والحلول الاحترازية,نماذج المسرعة,MODEL-038,نموذج تحديد المخاطر والحلول الاحترازية,نماذج المسرعة,DIRECT_NAME_MATCH,1_TO_1,True,
,,MODEL-010,الدليل الإرشادي لإنشاء وإدارة الفرق التطوعية,نماذج المنظمة,CURRENT_ONLY,,False,
,,MODEL-018,نموذج الإجراءات التأديبية,نماذج المنظمة,CURRENT_ONLY,,False,
