legacy_plan_id,cohort,stage,task,activity,execution_mode,owner,duration_days,start_date_raw,start_date_iso,end_date_raw,end_date_iso,execution_status,completion_ratio,cohort_source_value,duration_formula,completion_formula,source_file,source_sheet,source_row
LEG-PLAN-0012,2,مرحلة الإعداد والتحضير,تأهيل وتوعية مدراء التطوع,ترشيح مدارء التطوع ومساعديهم للبرنامج التدريبي (إدارة التطوع),فرز وترشيح,الفريق الاستشاري + الأكاديمية,1,45802,2025-05-25,45802,2025-05-25,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,13
LEG-PLAN-0013,2,مرحلة الإعداد والتحضير,تأهيل وتوعية مدراء التطوع,عقد البرنامج التدريبي,دورة تدريبية,الأكاديمية,4,45803,2025-05-26,45806,2025-05-29,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,14
LEG-PLAN-0014,2,مرحلة الإعداد والتحضير,عقد اللقاءات التعريفية بمسرعة إدامة,اللقاء التعريفي بمنهجية المسرعة وأداوتها (المستشارين),أون لاين,الفريق الاستشاري,1,45845,2025-07-07,45845,2025-07-07,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,15
LEG-PLAN-0015,2,مرحلة الإعداد والتحضير,عقد اللقاءات التعريفية بمسرعة إدامة,اللقاء التعريفي بمنهجية المسرعة ومتطلباتها (مدارء الجهات ومدراء التطوع),أون لاين,الفريق الاستشاري,1,45840,2025-07-02,45840,2025-07-02,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,16
LEG-PLAN-0016,2,مرحلة التهيئة والتقييم,عقد اللقاء الإثرائي (1) (نبض التطوع),بودكاست (من قلب العمل التطوعي) لقاء مع أحد قيادات العمل التطوعي بترشيح من المركز الوطني، يستعرض قصص ملهمة وتجارب واقعية للعمل التطوعي في المملكة,أون لاين,الفريق الاستشاري + الأكاديمية,1,45854,2025-07-16,45854,2025-07-16,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,17
LEG-PLAN-0017,2,مرحلة التهيئة والتقييم,تقييم الواقع الراهن للجهات المشاركة,عقد اجتماع مع مدير الجهة ومدير وحدة العمل التطوعي لمناقشة تقرير تقييم مدى جاهزية وتحديد مستوى تطبيقات معيار إدامة,أون لاين,المستشارين,1,45853,2025-07-15,45853,2025-07-15,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,18
LEG-PLAN-0018,2,مرحلة التهيئة والتقييم,تقييم الواقع الراهن للجهات المشاركة,عقد اجتماع مع مدير الجهة ومدير وحدة العمل التطوعي يهدف إلى توحيد التصورات وتأكيد التبني للعاملين في الجهة وإعداد خطة سد الفجوات,أون لاين,المستشارين,1,45855,2025-07-17,45855,2025-07-17,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,19
LEG-PLAN-0019,2,مرحلة التهيئة والتقييم,عقد اللقاء الإثرائي (2)(من فكرة لأثر),كلاس روم (من فكرة لأثر) حلقة نقاش حول تحويل الفرص التطوعية إلى مبادرات مستدامة الأثر,أون لاين,الفريق الاستشاري + الأكاديمية,1,45861,2025-07-23,45861,2025-07-23,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,20
LEG-PLAN-0020,2,مرحلة الموائمة,عقد لقاء التأسيس الأول,لقاء يوضح فيه سياسات العمل التطوعي وفق المعيار الوطني السعودي للتطوع,أون لاين,المستشارين,1,45879,2025-08-10,"Sunday, August 10, 2025","Sunday, August 10, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,21
LEG-PLAN-0021,2,مرحلة الموائمة,موائمة أدلة ومواثيق تأسيس وحدات العمل التطوعي,موائمة دليل السياسات والإجراءات,جلسة توجيه أونلاين,المستشارين,3,45893,2025-08-24,"Tuesday, August 26, 2025","Tuesday, August 26, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,22
LEG-PLAN-0022,2,مرحلة الموائمة,موائمة أدلة ومواثيق تأسيس وحدات العمل التطوعي,موائمة الوثيقة التعريفية لوحدة العمل التطوعي,جلسة توجيه أونلاين,المستشارين,3,45874,2025-08-05,"Thursday, August 7, 2025","Thursday, August 7, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,23
LEG-PLAN-0023,2,مرحلة الموائمة,موائمة أدلة ومواثيق تأسيس وحدات العمل التطوعي,موائمة دليل المتطوع,جلسة توجيه أونلاين,المستشارين,3,45879,2025-08-10,"Tuesday, August 12, 2025","Tuesday, August 12, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,24
LEG-PLAN-0024,2,مرحلة الموائمة,موائمة أدلة ومواثيق تأسيس وحدات العمل التطوعي,موائمة الميثاق الأخلاقي للمنظمة ومدير التطوع والمتطوع,جلسة توجيه أونلاين,المستشارين,3,45886,2025-08-17,"Tuesday, August 19, 2025","Tuesday, August 19, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,25
LEG-PLAN-0025,2,مرحلة الموائمة,تحكيم الأدلة والمواثيق للجهات المشاركة,تحكيم الأدلة والمواثيق للجهات المشاركة,تحكيم,المحكمين,2,45896,2025-08-27,"Thursday, August 28, 2025","Thursday, August 28, 2025",قيد التنفيذ,0.5,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,26
LEG-PLAN-0026,2,مرحلة الموائمة,عقد لقاء التأسيس الثاني,لقاء يوضح فيه عمليات التنظيم الإداري والتسويقي لوحدة العمل التطوعي,أون لاين,المستشارين,1,45900,2025-08-31,"Tuesday, August 31, 2055","Tuesday, August 31, 2055",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,27
LEG-PLAN-0027,2,مرحلة الموائمة,موائمة أدوات ونماذج وحدات العمل التطوعي,موائمة الهيكل الإداري والوصف الوظيفي,جلسة توجيه أونلاين,المستشارين,3,45901,2025-09-01,"Wednesday, September 3, 2025","Wednesday, September 3, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,28
LEG-PLAN-0028,2,مرحلة الموائمة,موائمة أدوات ونماذج وحدات العمل التطوعي,موائمة أداة قياس نتائج التطوع,جلسة توجيه أونلاين,المستشارين,3,45904,2025-09-04,"Saturday, September 6, 2025","Saturday, September 6, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,29
LEG-PLAN-0029,2,مرحلة الموائمة,موائمة أدوات ونماذج وحدات العمل التطوعي,موائمة أدوات ونماذج عمل وحدة العمل التطوعي,جلسة توجيه أونلاين,المستشارين,3,45907,2025-09-07,"Tuesday, September 9, 2025","Tuesday, September 9, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,30
LEG-PLAN-0030,2,مرحلة الموائمة,تحكيم الأدوات والنماذج الإدارية لوحدة العمل التطوعي,تحكيم الأدوات والنماذج الإدارية لوحدة العمل التطوعي,تحكيم,المحكمين,2,45910,2025-09-10,"Thursday, September 11, 2025","Thursday, September 11, 2025",قيد التنفيذ,0.5,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,31
LEG-PLAN-0031,2,مرحلة الموائمة,عقد لقاء مراجعة مخرجات مرحلة التأسيس,لقاء يهدف لمراجعة وتطوير مخرجات أدوات تأسيس وتشغيل الوحدة,ورشة عمل,المستشارين,1,45914,2025-09-14,"Sunday, September 14, 2025","Sunday, September 14, 2025",لم يبدأ,0,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,32
LEG-PLAN-0032,2,مرحلة الموائمة,عقد اللقاء الإثرائي (3) (التحديات والحلول),مجموعات التعلم (مناقشة تحديات وحدات العمل التطوعي وتبادل الخبرات في الحلول المناسبة لها ),أون لاين,الفريق الاستشاري,1,45901,2025-09-01,"Monday, September 1, 2025","Monday, September 1, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,33
LEG-PLAN-0033,2,مرحلة التمكين,تنفيذ معسكر تدريبي لتأهيل مدراء التطوع على أفضل ممارسات إدارة وحدة العمل التطوعي,اليوم الأول : المشاركة في ورشة عمل وضع الخطة التشغيلية وتحديد أصحاب المصلحة وتحليل أدوارهم والحوكمة والتوقعات والتدريب على منهجية بناء الحلول المبتكرة لتحديات وحدة التطوع والتمكين من تصميم خارطة تسويق الفرص التطوعية وقنوات الترويج,حضوري,الفريق الاستشاري,1,45930,2025-09-30,"Thursday, October 2, 2025","Thursday, October 2, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,34
LEG-PLAN-0034,2,مرحلة التمكين,تنفيذ معسكر تدريبي لتأهيل مدراء التطوع على أفضل ممارسات إدارة وحدة العمل التطوعي,اليوم الثاني: المشاركة في ورشة عمل بناء خارطة استدامة وحدة التطوع والتمكين على تصميم الإطار المنطقي لوحدة العمل التطوعي وتوصيف الأثر الاجتماعي المستهدف,حضوري,الفريق الاستشاري,1,45930,2025-09-30,"Thursday, October 2, 2025","Thursday, October 2, 2025",تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,35
LEG-PLAN-0035,2,مرحلة التمكين,تنفيذ معسكر تدريبي لتأهيل مدراء التطوع على أفضل ممارسات إدارة وحدة العمل التطوعي,اليوم الثالث: المشاركة في ورشة عمل تحديد طبيعة مساهمة وتدخل وحدة التطوع والتأهيل على القيمة المضافة من الوحدة والموارد والأنشطة الرئيسية لها + (اللقاء الإثرائي 4) استضافة منظمة متميز في إدارة العمل التطوعي تم تأسيسها وحدتها وفق المعيار بالتنسيق مع المركز الوطني لتنمية القطاع غير الربحي + تدشين مسرعة إدامة والمستشار الآلي,حضوري,الفريق الاستشاري,1,45930,2025-09-30,"Thursday, October 2, 2025","Thursday, October 2, 2025",لم يبدأ,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,36
LEG-PLAN-0036,2,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,بناء خارطة تفصيلية لخطوات ومراحل الإطلاق التفعيلي لوحدة التطوع,خطة تنفيذية,المستشارون,2,45935,2025-10-05,"Wednesday, October 8, 2025","Wednesday, October 8, 2025",لم يبدأ,0,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,37
LEG-PLAN-0037,2,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,تنفيذ الاطلاق التفعيلي,التفعيل الميداني,المستشارون,14,45939,2025-10-09,"Sunday, October 12, 2025","Sunday, October 12, 2025",لم يبدأ,0,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,38
LEG-PLAN-0038,2,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,عقد لقاء مع مدير وحدة التطوع لمناقشة تقرير أداء الوحدة ونتائج التفعيل,التفعيل الميداني,المستشارون,1,45943,2025-10-13,"Tuesday, October 14, 2025","Tuesday, October 14, 2025",لم يبدأ,0,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,39
LEG-PLAN-0039,2,مرحلة التفعيل والتحكيم,تحكيم متطلبات التفعيل,تحكيم متطلبات التفعيل,تحكيم,المحكمين,1,45945,2025-10-15,45953,2025-10-23,لم يبدأ,0,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,40
LEG-PLAN-0040,2,مرحلة التقييم والإغلاق,تقييم أداء وحدات العمل التطوعي في الجهات المشاركة خلال فترة التفعيل,استلام تقارير الإنجار لمتطلبات التفعيل النهائية,أون لاين,الفريق الاستشاري,2,45956,2025-10-26,45956,2025-10-26,لم يبدأ,0,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,41
LEG-PLAN-0041,2,مرحلة التقييم والإغلاق,تسليم تقارير متابعة حالة تنفيذ الجهات لمتطلبات التفعيل والتقارير النهائية لتخريج الدفعة,تقييم أداء المستشارين,تقييم,الفريق الاستشاري + الأكاديمية,2,45957,2025-10-27,45958,2025-10-28,لم يبدأ,0,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,42
LEG-PLAN-0042,2,مرحلة التقييم والإغلاق,تسليم تقارير متابعة حالة تنفيذ الجهات لمتطلبات التفعيل والتقارير النهائية لتخريج الدفعة,تسليم شهادة إغلاق تأسيس الوحدة وفق المعيار الوطني السعودي (إدامة),شهادة,الفريق الاستشاري + الأكاديمية,3,45959,2025-10-29,45960,2025-10-30,لم يبدأ,0,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,43
LEG-PLAN-0043,3,مرحلة الإعداد والتحضير,إعداد خطة مسرعة إدامة,تحديد الجدول الزمني لمهام ومتطلبات برنامج المسرعة,خطة تنفيذية,الفريق الاستشاري,1,45962,2025-11-01,45962,2025-11-01,تم الانجاز,1,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,2
LEG-PLAN-0044,3,مرحلة الإعداد والتحضير,اعتماد خطة مسرعة إدامة,مناقشة الخطة الزمنية للدفعة واعتمادها للإطلاق,أون لاين,الفريق الاستشاري +الأكاديمية,1,45963,2025-11-02,45963,2025-11-02,قيد التنفيذ,0.5,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,3
LEG-PLAN-0045,3,مرحلة الإعداد والتحضير,استقطاب مستشاري التطوع,التواصل مع المستشارين المرشحين,تواصل,الفريق الاستشاري,1,45962,2025-11-01,45962,2025-11-01,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,4
LEG-PLAN-0046,3,مرحلة الإعداد والتحضير,استقطاب مستشاري التطوع,إبرام التعاقد مع المستشارين المرشحين,توقيع عقود,الفريق الاستشاري,1,45964,2025-11-03,45964,2025-11-03,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,5
LEG-PLAN-0047,3,مرحلة الإعداد والتحضير,تقييم واختيار الجهات المشاركة,التحقق من استكمال المتطلبات وفرز الجهات الجاهزة للمشاركة,فرز وتقييم,الفريق الاستشاري,2,45960,2025-10-30,45961,2025-10-31,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,6
LEG-PLAN-0048,3,مرحلة الإعداد والتحضير,تقييم واختيار الجهات المشاركة,اختيار الجهات المرشحة للمشاركة وإرسال خطابات القبول,بريد رسمي,الفريق الاستشاري + الأكاديمية,2,45963,2025-11-02,45964,2025-11-03,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,7
LEG-PLAN-0049,3,مرحلة الإعداد والتحضير,تأهيل وتوعية مدراء التطوع,ترشيح مدارء التطوع ومساعديهم للبرنامج التدريبي (إدارة التطوع),فرز وترشيح,الفريق الاستشاري + الأكاديمية,1,45960,2025-10-30,45960,2025-10-30,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,8
LEG-PLAN-0050,3,مرحلة الإعداد والتحضير,تأهيل وتوعية مدراء التطوع,عقد البرنامج التدريبي,دورة تدريبية,الأكاديمية,4,45970,2025-11-09,45973,2025-11-12,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,9
LEG-PLAN-0051,3,مرحلة الإعداد والتحضير,عقد اللقاءات التعريفية بمسرعة إدامة,اللقاء التعريفي بمنهجية المسرعة وأداوتها (المستشارين),أون لاين,الفريق الاستشاري,1,45971,2025-11-10,45971,2025-11-10,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,10
LEG-PLAN-0052,3,مرحلة الإعداد والتحضير,عقد اللقاءات التعريفية بمسرعة إدامة,اللقاء التعريفي بمنهجية المسرعة ومتطلباتها (مدارء الجهات ومدراء التطوع),أون لاين,الفريق الاستشاري,1,45972,2025-11-11,45972,2025-11-11,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,11
LEG-PLAN-0053,3,مرحلة التهيئة والتقييم,عقد اللقاء الإثرائي (1) (العمل التطوعي بين المأسسة والأثر),عقد اللقاء الإثرائي (1) بودكاست (العمل التطوعي بين المأسسة والأثر) لقاء مع أحد قيادات العمل التطوعي، يهدف إلى تسليط الضوء على أهمية مأسسة وحدات العمل التطوعي كخيار استراتيجي يعزز من استدامة الأثر التنموي,أون لاين,الفريق الاستشاري + الأكاديمية,1,45977,2025-11-16,45977,2025-11-16,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,12
LEG-PLAN-0054,3,مرحلة التهيئة والتقييم,تقييم الواقع الراهن للجهات المشاركة,عقد اجتماع مع مدير الجهة ومدير وحدة العمل التطوعي لمناقشة تقرير تقييم مدى جاهزية وتحديد مستوى تطبيقات معيار إدامة,أون لاين,المستشارين,1,45978,2025-11-17,17/11/2025,17/11/2025,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,13
LEG-PLAN-0055,3,مرحلة التهيئة والتقييم,تقييم الواقع الراهن للجهات المشاركة,عقد اجتماع مع مدير الجهة ومدير وحدة العمل التطوعي يهدف إلى توحيد التصورات وتأكيد التبني للعاملين في الجهة وإعداد خطة سد الفجوات,أون لاين,المستشارين,1,45979,2025-11-18,45979,2025-11-18,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,14
LEG-PLAN-0056,3,مرحلة التهيئة والتقييم,عقد اللقاء الإثرائي (2)(التطوع في الجهات بين التحديات والحلول),عقد اللقاء الإثرائي (2) لقاء بعنوان(التطوع في الجهات بين التحدات والحلول) حلقة نقاش تفاعلية تهدف إلى ابتكار الحلول المناسبة لمواجهة تحديات وحدات العمل التطوعي في الجهات,أون لاين,الفريق الاستشاري + الأكاديمية,1,45980,2025-11-19,45980,2025-11-19,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,15
LEG-PLAN-0057,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,لقاء يوضح فيه سياسات العمل التطوعي وفق المعيار الوطني السعودي للتطوع,أون لاين,المستشارين,1,45981,2025-11-20,45981,2025-11-20,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,16
LEG-PLAN-0058,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,اليوم الأول : المشاركة في ورشة عمل التعريف بأهم أدولة ونماذج معيار إدامة,أون لاين,الفريق الاستشاري,1,45984,2025-11-23,45984,2025-11-23,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,17
LEG-PLAN-0059,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,اليوم الثاني: المشاركة في ورشة عمل تحديد طبيعة مساهمة وتدخل وحدة التطوع والتأهيل على القيمة المضافة من الوحدة والموارد والأنشطة الرئيسية لها,أون لاين,الفريق الاستشاري,1,45985,2025-11-24,45985,2025-11-24,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,18
LEG-PLAN-0060,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة دليل السياسات والإجراءات,جلسة توجيه أونلاين,المستشارين,2,45986,2025-11-25,45987,2025-11-26,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,19
LEG-PLAN-0061,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة الوثيقة التعريفية لوحدة العمل التطوعي,جلسة توجيه أونلاين,المستشارين,2,45988,2025-11-27,45989,2025-11-28,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,20
